"CODI_ESTACIO","NOM_ESTACIO","EMPLACAMENT","CODI_BARRI","NOM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_MUNICIPI","NOM_MUNICIPI","CODI_COMARCA","NOM_COMARCA","CODI_PROVINCIA","NOM_PROVINCIA","ALTITUD","LATITUD","LONGITUD","CODI_XARXA","NOM_XARXA","CODI_ESTAT","DATA_ALTA","DATA_BAIXA","ACRÒNIM"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"DVM10"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"DVVX10"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"HRM"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"HRN"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"HRX"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"PM"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"PN"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"PPT"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"PX"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"RS24h"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"TM"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"TN"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"TX"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"VVM10"
"X4","Barcelona - el Raval","Facultat de Geografia i Història. c. Montalegre nº6, 6a","01","el Raval","05","Sarrià-Sant Gervasi","080193","Barcelona",13,"Barcelonès",8,"Barcelona",33,41.3839,2.16775,1,"XEMA",2,2006-10-11,NA,"VVX10"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"DVM10"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"DVVX10"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"HRM"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"HRN"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"HRX"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"PM"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"PN"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"PPT"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"PX"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"RS24h"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"TM"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"TN"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"TX"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"VVM10"
"X8","Barcelona - Zona Universitària","Pistes UB","26","Sant Gervasi - Galvany","01","Ciutat Vella","080193","Barcelona",13,"Barcelonès",8,"Barcelona",79,41.37919,2.1054,1,"XEMA",2,2008-04-17,NA,"VVX10"
